similarity;sentence1;sentence2
neutral;This person, seated on a type of go-cart, is riding downhill.;A go-cart race is happening down the hill.
entailment;This person, seated on a type of go-cart, is riding downhill.;A go-cart picks up speed on the decline.
entailment;a young person riding a small wagon down a hill.;A young person is outside.
neutral;a young person riding a small wagon down a hill.;A young person is riding a wagon pushed by their parents.
contradiction;a young person riding a small wagon down a hill.;A young person is on the swingset.
neutral;A man is standing in front of a motor-scooter holding up a picture.;A mans stands in front of a scooter and holds up a some sceneries picture
contradiction;A man is standing in front of a motor-scooter holding up a picture.;A man sitting at the back of scooter
entailment;A man is standing in front of a motor-scooter holding up a picture.;A mans stands in front of a scooter and holds up a picture
neutral;a boy is riding a buggy down a woodland path.;A boy is on his way to see his grandmother.
contradiction;a boy is riding a buggy down a woodland path.;The boy is playing in the snow.
entailment;a boy is riding a buggy down a woodland path.;The boy is on a path in the woods.
entailment;Many people have arms lifted in a crowd.;People stand with arms raised in the crowd.
neutral;Many people have arms lifted in a crowd.;Many people were really enjoying the concert and raise their arms in support.
contradiction;Many people have arms lifted in a crowd.;Many people crossed their arms in the scarce crowd.
entailment;Girls are playing basketball.;There are girls performing a physical activity.
neutral;Girls are playing basketball.;Some girls are playing for the championship.
contradiction;Girls are playing basketball.;The girls are sitting on a couch.
entailment;A canoe of children is floating in the water with one boy rowing.;a canoe is floating
neutral;A canoe of children is floating in the water with one boy rowing.;the canoe is brown
contradiction;A canoe of children is floating in the water with one boy rowing.;the canoe is sunken
neutral;A girl in a red dress is surrounded by a lot of other people holding their hands up.;A girl is sitting in a chair with people around her.
entailment;A girl in a red dress is surrounded by a lot of other people holding their hands up.;A girl is surrounded by people.
contradiction;A girl in a red dress is surrounded by a lot of other people holding their hands up.;People are at a casino playing slots.
neutral;A crowd of people is facing the same direction while some hold their hands in the air.;The crowd is at a concert.
entailment;A crowd of people is facing the same direction while some hold their hands in the air.;The crowd is looking at the same thing.
contradiction;A crowd of people is facing the same direction while some hold their hands in the air.;There is a brawl happening.
entailment;Several people in a crowd, some with their arms raised.;there are people gathered
contradiction;Several people in a crowd, some with their arms raised.;there is nobody there
neutral;Several people in a crowd, some with their arms raised.;there are people praying
contradiction;The girl in the red dress is raising her hand amidst a group of people.;A dog is eating kibble in the kitchen
entailment;The girl in the red dress is raising her hand amidst a group of people.;A young girl in a red dress is in a crowd of people
neutral;The girl in the red dress is raising her hand amidst a group of people.;A young Asian girl in a red dress is in a crowd of people
entailment;People standing in front of a big wall with graffiti painted on it.;A big wall with graffiti on it.
contradiction;People standing in front of a big wall with graffiti painted on it.;A big wall with no graffiti on it.
neutral;People standing in front of a big wall with graffiti painted on it.;A big wall with graffiti art on it.
neutral;Three people in red shirts wait for a bus next to a wall with graffiti on it.;The people are strangers to eachother.
contradiction;Three people in red shirts wait for a bus next to a wall with graffiti on it.;The people are wearing yellow shirts.
entailment;Three people in red shirts wait for a bus next to a wall with graffiti on it.;There are three people wearing shirts.
neutral;Three people dressed in red and black stand on a sidewalk in front of a beige wall adorned in graffiti.;The 3 people standing outside are trying to figure out what they want to paint on the wall behind them.
contradiction;Three people dressed in red and black stand on a sidewalk in front of a beige wall adorned in graffiti.;The 3 people are sitting on a red and black blanket in the country eating fried chicken.
entailment;Three people dressed in red and black stand on a sidewalk in front of a beige wall adorned in graffiti.;There are 3 people outside.
contradiction;Here is a picture of locals hanging out in front of a store, talking on the phone and making sure their graffiti sign does n't get tagged.;The locals are inside eating dinner.
neutral;Here is a picture of locals hanging out in front of a store, talking on the phone and making sure their graffiti sign does n't get tagged.;The people are gang members.
entailment;Here is a picture of locals hanging out in front of a store, talking on the phone and making sure their graffiti sign does n't get tagged.;The people have painted a sign with graffiti.
entailment;Three people standing next to a building that has graffiti on it.;People are outside.
