similitud; oración1; oración2
vinculación; Niños en un paseo en globo en un parque de atracciones.; Niños en un paseo en globo en un carnaval.
contradicción; Los niños viajan en globo en un parque de atracciones.; Los adultos están jugando al póquer
contradicción; Los niños viajan en globo en un parque de diversiones.; El parque estaba vacío
vinculación; Los niños viajan en globo en un parque de diversiones.; Los niños viajan por encima del suelo.
contradicción; Los niños montan un paseo en globo en un parque de diversiones.; Los niños pintan un globo en el aire.
vinculación; Los niños viajan en globo en un parque de diversiones.; Los niños están en los paseos del parque de diversiones
neutral; Los niños viajan en globo en un parque de diversiones.; Los niños disfrutan de su paseo en globo.
vinculación; Los niños viajan en globo en un parque de atracciones.; Algunos niños viajan en globo en el parque de atracciones.
contradicción; Los niños viajan en globo en un parque de diversiones.; Los niños viajan en los karts.
neutral; Los niños viajan en globo en un parque de atracciones.; Un grupo de hermanos y hermanas viajan en globo en el parque de atracciones.
neutral; Los niños viajan en globo en un parque de diversiones.; 10 personas en un paseo
contradicción; Los niños viajan en globo en un parque de atracciones.; Solo un niño está en un paseo en globo en el parque de atracciones.
contradicción; Esta persona, sentada en una especie de karting, va cuesta abajo.; Un ciclista va cuesta arriba.
neutral; Esta persona, sentada en una especie de karting, va cuesta abajo.; Hay una carrera de karts cuesta abajo.
vinculación; Esta persona, sentada en una especie de karting, va cuesta abajo.; Un karting gana velocidad en el declive.
vinculación; una persona joven montando un pequeño carro cuesta abajo.; una persona joven está afuera.
neutral; una persona joven montando un pequeño carro cuesta abajo.; Un joven está montando un carro empujado por sus padres.
contradicción; una persona joven montando un pequeño carro cuesta abajo; una persona joven está en el columpio.
neutral; Un hombre está parado frente a una motocicleta sosteniendo una imagen.; Un hombre está parado frente a una scooter y sostiene una imagen de algunos paisajes
contradicción; Un hombre está parado frente a una motocicleta sosteniendo una imagen.; Un hombre sentado en la parte trasera de una scooter
vinculación; Un hombre está parado frente a una motocicleta sosteniendo una imagen.; Un hombre se para frente a una scooter y sostiene una imagen
neutral; un niño va en una calesa por un sendero del bosque; un niño se dirige a ver a su abuela.
contradicción; un niño va en una calesa por un sendero del bosque; el niño está jugando en la nieve.
vinculación; un niño está montando un buggy por un sendero del bosque.; El niño está en un camino en el bosque.
vinculación; Mucha gente tiene los brazos levantados en una multitud.; La gente se para con los brazos levantados en la multitud.
neutral; Mucha gente tiene los brazos levantados en medio de la multitud.; Mucha gente estaba realmente disfrutando del concierto y levantaron los brazos en apoyo.
contradicción; Mucha gente tiene los brazos levantados en medio de la multitud.; Mucha gente se cruzó de brazos en la escasa multitud.
vinculación; Las niñas están jugando al baloncesto.; Hay niñas que realizan una actividad física.
neutral; Las niñas están jugando baloncesto.; Algunas niñas están jugando por el campeonato.
contradicción; las niñas están jugando baloncesto; las niñas están sentadas en un sofá.
vinculación; una canoa de niños está flotando en el agua con un niño remando.; una canoa está flotando
neutral; una canoa de niños está flotando en el agua con un niño remando.; la canoa es marrón
contradicción; una canoa de niños está flotando en el agua con un niño remando.; la canoa está hundida
neutral; Una niña con un vestido rojo está rodeada por muchas otras personas que levantan las manos.; Una niña está sentada en una silla con gente a su alrededor.
vinculación; Una niña con un vestido rojo está rodeada por muchas otras personas que levantan las manos.; Una niña está rodeada de gente.
contradicción; Una chica con un vestido rojo está rodeada por muchas otras personas que levantan las manos.; La gente está en un casino jugando a las tragamonedas.
neutral; Una multitud de personas está mirando en la misma dirección mientras algunos sostienen sus manos en el aire.; La multitud está en un concierto.
vinculación; Una multitud de personas está mirando en la misma dirección mientras algunos sostienen sus manos en el aire.; La multitud está mirando lo mismo.
contradicción; una multitud de personas está mirando en la misma dirección mientras algunos sostienen sus manos en el aire.; Hay una pelea.
vinculación; Varias personas en una multitud, algunas con los brazos en alto.; Hay personas reunidas
contradicción; varias personas en una multitud, algunas con los brazos en alto.; no hay nadie allí
neutral; Varias personas en una multitud, algunas con los brazos en alto.; Hay gente rezando
contradicción; La niña del vestido rojo levanta la mano en medio de un grupo de personas.; Un perro está comiendo croquetas en la cocina
vinculación; La niña del vestido rojo está levantando la mano en medio de un grupo de personas.; Una niña con un vestido rojo está en una multitud de personas.
neutral; La niña del vestido rojo está levantando la mano en medio de un grupo de personas.; Una joven asiática con un vestido rojo está en una multitud de personas
vinculación; Gente parada frente a una gran pared con graffitis pintados.; Una gran pared con graffitis.
contradicción; Gente parada frente a una gran pared con graffitis pintados.; Una gran pared sin graffitis.
neutral; Gente parada frente a una gran pared con graffitis pintados.; Una gran pared con graffitis.
neutral; tres personas con camisa roja esperan un autobús junto a una pared con grafitis; la gente se desconoce.
contradicción; Tres personas con camiseta roja esperan un autobús junto a una pared con grafitis; la gente lleva camiseta amarilla.
vinculación; Tres personas con camiseta roja esperan un autobús junto a una pared con grafiti; hay tres personas con camiseta.
neutral; Tres personas vestidas de rojo y negro se paran en una acera frente a una pared beige adornada con grafitis.; Las 3 personas que están afuera están tratando de averiguar qué quieren pintar en la pared detrás de ellos.
contradicción; Tres personas vestidas de rojo y negro se paran en una acera frente a una pared beige adornada con grafitis.; Las 3 personas están sentadas sobre una manta roja y negra en el campo comiendo pollo frito.
vinculación; Tres personas vestidas de rojo y negro se paran en una acera frente a una pared beige adornada con grafitis.; Hay 3 personas afuera.
contradicción; Aquí hay una foto de los lugareños pasando el rato frente a una tienda, hablando por teléfono y asegurándose de que su letrero de graffiti no sea etiquetado.; Los lugareños están adentro cenando.
neutral; Aquí hay una foto de los lugareños pasando el rato frente a una tienda, hablando por teléfono y asegurándose de que su letrero de graffiti no sea etiquetado.; La gente son miembros de pandillas.
vinculación; Aquí hay una foto de los lugareños pasando el rato frente a una tienda, hablando por teléfono y asegurándose de que su letrero de graffiti no sea etiquetado.; La gente ha pintado un letrero con graffiti.
vinculación; Tres personas de pie junto a un edificio que tiene graffitis; Hay gente afuera.
contradicción; Tres personas de pie junto a un edificio que tiene graffitis; La gente está jugando a los bolos.
neutral; Tres personas de pie junto a un edificio que tiene graffitis.; La gente señala el grafiti.
neutral; Lanzador en la montura, en suite roja y blanca, lanzando.; Un equipo de béisbol está jugando un juego.
contradicción; Jarra en la montura, en suite roja y blanca, lanzando.; El lanzador viste azul y oro.
vinculación; Lanzador en el monte, en suite roja y blanca, lanzando.; Una persona está lanzando una pelota.
neutral; Banda tocando frente a una pequeña multitud afuera.; Una banda toca para una multitud de diferentes edades afuera.
neutral; Banda tocando frente a una pequeña multitud afuera.; Un concierto es para caridad.
vinculación; Banda tocando frente a una pequeña multitud afuera.; Una banda toca música afuera.
contradicción; Banda tocando frente a una pequeña multitud afuera.; La banda está sentada dentro de un automóvil.
contradicción; Banda tocando frente a una pequeña multitud afuera.; Una banda almuerza y ​​espera a que se ponga el sol.
contradicción; Banda tocando frente a una pequeña multitud afuera.; El concierto fue cancelado
vinculación; Banda tocando frente a una pequeña multitud afuera.; Un concierto está afuera.
contradicción; Banda tocando frente a una pequeña multitud afuera.; Hay miles de personas viéndolos actuar.
neutral; Banda tocando frente a una pequeña multitud afuera.; La banda está tocando en una glorieta.
vinculación; Banda tocando frente a una pequeña multitud afuera.; La banda está tocando música.
